ID,Teff,logg,FeH,L,eTeff,elogg,eFeH,eL,M,R,eM,eR
KIC6106415,-0.2693604611090718,0.8140941135431956,0.14184186293532552,-0.8368594747242057,0.2076282316840945,0.04640712490145173,0.49215816126339523,0.04732607927874107,-0.769941014029086,-0.885508542999736,0.27457112177860116,0.04348343671818236
KIC9850387_B,0.0783494151982522,1.3440845740654581,-0.6456111950861069,-0.9363864225636181,0.08313218678987835,0.01582061076185854,0.24607908063169762,0.028436270811260735,-0.8066709228635041,-1.2179152592453966,0.012042593060464964,0.0024157464843434645
EPIC206108325,0.7984418732662714,-1.340145718529874,-0.5471795628334277,1.6289714370522608,0.19144940843598324,0.0738295168886732,0.5413739773897347,1.3973297769316035,0.6263976513318265,1.3645177325177669,0.3010648265116241,0.12078732421717324
KIC3657002,-0.35295104789098,0.10480339771987061,0.8899222680556862,-0.44403270508864656,0.1725741146465201,0.06963104056792271,0.49215816126339523,0.09200083053901992,0.13867263238299565,-0.1670655385559894,0.46531084798772987,0.08459926432434153
KIC9139163,0.6636183461986774,0.25773596841784074,1.0100088594039547,-0.05635696279432751,0.11055529219542694,0.05273536920619514,0.020670642773062596,0.042946893573806925,1.4693791655643733,-0.03661522840144219,0.18063889590697443,0.02415746484343465
KIC10920273,-0.8868522150786515,-1.1133836309432341,-0.34539471671543576,-0.11306701144078452,0.7577082221198773,0.05273536920619514,0.09843163225267905,0.2805217803908863,-0.6380746200169944,0.6639512520581626,0.12042593060464962,0.02415746484343465
47_Tuc_E32_A,-0.3001002252804822,0.45285683448076236,-3.1556178175294223,-0.8795138809410966,0.04875218738764192,0.010547073841239029,0.49215816126339523,0.020311622008043383,-2.010930228910001,-0.971509117842363,0.012042593060464964,0.0024157464843434645
KIC10016239,0.9305689297925133,0.9011074727334208,0.31409721937751384,-0.5110610577151897,0.1375199976089457,0.05679773290225597,0.49215816126339523,0.0858479681906881,0.4096309762434569,-0.6936982721428646,0.3422433113716537,0.0606980981041633
KIC8956017,1.262234806378794,-0.41200322050084104,0.9686675738578295,0.8603796602678991,0.23189646655626137,0.130912991115436,0.49215816126339523,0.19593310798451805,1.8125930677876256,0.7146819282293752,0.44950500781948316,0.18071251268878355
EPIC219394517_B,-0.7064853005676236,1.5233848293665206,0.6832158403250603,-1.0663808034150957,0.11087886866038915,0.05273536920619514,0.14764744837901855,0.04062324401608677,-0.7825857367425741,-1.3121293721347915,0.006021296530232482,0.012078732421717324
KIC11389393,0.1000560030561353,-0.6440388450080975,1.027726553209437,0.37168203475437567,0.17796705572922386,0.08325828449052565,0.49215816126339523,0.15291481337209872,1.246591193945772,0.7726598438536184,0.6774848333393331,0.1782614057152755
KIC5955122,-0.6387769252742789,-1.4297958461804052,-0.36508104316597145,0.43933192301436486,0.3451482292930402,0.10547073841239028,0.03445107128843766,0.17709093880152785,0.02426799830857775,1.2920453379874635,0.18063889590697443,0.0483149296868693
*_mu._Her,-1.27244750249197,-0.6387653080874809,1.5691005305991717,-0.4834372517842509,0.04314352866163002,0.05273536920619514,0.049215816126339525,0.008124648803217352,-0.6922662887890875,0.24361136378239942,0.09634074448371971,0.01691022539040425
KIC3456181,0.6663148167400293,-1.013186429451465,-0.39953211445440917,1.377107324152523,0.2076282316840945,0.043506679595110995,0.49215816126339523,0.1092765264032734,1.8156037160527416,1.360410963494383,0.14872602429674228,0.06522515507727354
ASAS_J231922-0852.2_A,0.3485087987362981,-0.40672968358021977,-1.5807117014865577,-0.03455040540649198,0.05069364617741528,0.02636768460309757,0.3445107128843767,0.044685568417695436,-0.3610949796263014,0.13248702550259994,0.006021296530232482,0.009662985937373858
ZTF_J034350.31+515137.1_B,-2.299614025809141,-1.1819396109112896,0.46666624936916634,-0.7088962560735322,0.356365546745064,0.9017748134259369,0.27068698869486735,0.7677793119040398,-1.8242700364727937,0.328162490734421,0.2589157507999967,0.7053979734282916
EPIC204506926,-1.1645886808378947,0.1628123038466859,2.2089061402415853,-0.5894639186662372,0.21032470222544636,0.06855597996805368,0.3937265290107162,0.08424185430420801,-0.6982875853193193,-0.42313466589639687,0.3010648265116241,0.0483149296868693
KIC10215584,-0.3826122238458506,1.1120489495582015,0.2648814032511743,-0.8307659881217925,0.15369882085705697,0.0901142358143047,0.49215816126339523,0.06383191429606713,-0.7705431436821092,-1.0778019631534757,0.3746009340074984,0.07022305432678799
EPIC204926239,0.237576000665081,-1.7092933029732391,0.8308632887040789,1.1735848716319284,0.19144940843598324,0.06328244304743416,0.3937265290107162,0.2424301680047684,1.4693791655643733,2.089241677820807,0.3010648265116241,0.12078732421717324
