ID,Seq,M,eM1,eM2,R,eR1,eR2,Teff,eTeff1,eTeff2,L,eL1,eL2,FeH,eFeH1,eFeH2,logg,elogg1,elogg2,rho,erho1,erho2,cutoff,class,type,pla,catalog,e_M,e_R,e_Teff,e_L,mode,logTeff,elogTeff1,elogTeff2,logL,elogL1,elogL2,eTeff,elogg,eFeH,elogL,eM,eR
EPIC206064678,307,1.01,0.04,0.04,0.98,0.02,0.02,5562,71,71,0.9558,0.0889516392597488,0.0889516392597488,0.26,0.11,0.11,4.453,0.013,0.013,1.05319224486897,0.0426106100419004,0.0426106100419004,4.1482252,ms,G,,lund16,3.96039603960396,2.04081632653061,1.27651923768429,9.30651174510869,A,3.7452309845281406,0.00550876670721,0.0055795408187639,-0.0196329738152248,0.0386460350579329,0.0424238939375985,71.0,0.013,0.11,0.040534964497765696,0.04,0.02
EPIC206064711,308,1.27,0.05,0.05,1.57,0.03,0.03,6563,71,71,3.997,0.308407549090577,0.308407549090577,-0.18,0.08,0.08,4.147,0.011,0.011,0.32668134365457,0.0120730061785385,0.0120730061785385,3.4920697,ms,F,,lund16,3.93700787401575,1.91082802547771,1.08182233734573,7.71597570904621,A,3.8171024042569233,0.0046730629265403,0.0047238931027289,0.6017341482601049,0.0322801197116031,0.0348734751690726,71.0,0.011,0.08,0.03357679744033785,0.05,0.03
EPIC206070413,309,1.23,0.07,0.07,1.52,0.04,0.04,6446,71,71,3.855,0.316837613447796,0.316837613447796,-0.13,0.08,0.08,4.16,0.014,0.014,0.34798664867552,0.0156238903486968,0.0156238903486968,3.5687632,ms,F,,lund16,5.69105691056911,2.63157894736842,1.10145826869376,8.21887453820483,A,3.809290301176316,0.0047574198192839,0.0048101120703227,0.5860243823869757,0.0343030130156272,0.0372466210927606,71.0,0.014,0.08,0.0357748170541939,0.07,0.04
EPIC206078331,310,0.94,0.04,0.04,1.13,0.03,0.03,5809,78,78,1.423,0.123992980527382,0.123992980527382,-0.18,0.11,0.11,4.306,0.012,0.012,0.656203394645267,0.0255663660251403,0.0255663660251403,3.9863167,ms,G,,lund16,4.25531914893617,2.65486725663717,1.34274401790325,8.71349125280268,A,3.764101376476229,0.0057926593359405,0.0058709680184789,0.1532049000842843,0.0362834430105969,0.0395934021983333,78.0,0.012,0.11,0.0379384226044651,0.04,0.03
EPIC206088888,311,1.08,0.06,0.06,1.3,0.03,0.03,5965,71,71,2.132,0.17966884307268,0.17966884307268,-0.02,0.08,0.08,4.242,0.012,0.012,0.491442369149918,0.0198849513528869,0.0198849513528869,3.8840587,ms,G,,lund16,5.55555555555556,2.30769230769231,1.19027661357921,8.42724404656098,A,3.775610448006361,0.0051387830971916,0.0052003164924543,0.3287872003545347,0.0351384192178796,0.0382337151857191,71.0,0.012,0.08,0.03668606720179935,0.06,0.03
EPIC206094605,312,1.4,0.11,0.11,2.01,0.07,0.07,6537,78,78,6.616,0.579248511148907,0.579248511148907,0.04,0.08,0.08,3.979,0.014,0.014,0.172572970669697,0.0078119451743484,0.0078119451743484,3.5091127,ms,F,,lund16,7.85714285714286,3.48258706467662,1.19320789352914,8.75526770176704,A,3.815378484965918,0.0051513635576019,0.0052132004227685,0.8205954965444903,0.0364503017499316,0.0397921986506186,78.0,0.014,0.08,0.0381212502002751,0.11,0.07
EPIC206107253,313,1.16,0.03,0.03,1.31,0.02,0.02,6290,65,65,2.481,0.20841508252867,0.20841508252867,-0.18,0.08,0.08,4.267,0.01,0.01,0.516298558341027,0.0184645976848235,0.0184645976848235,3.6710212,ms,F,,lund16,2.58620689655172,1.52671755725191,1.03338632750397,8.40044669603668,A,3.798650645445269,0.0044649094447577,0.0045112896774952,0.3946267642722091,0.0350310718446569,0.0381066442153029,65.0,0.01,0.08,0.0365688580299799,0.03,0.02
EPIC206108325,314,1.3,0.05,0.05,2.15,0.05,0.05,6433,71,71,7.835,3.43972966891016,3.43972966891016,-0.18,0.11,0.11,3.887,0.014,0.014,0.13138271429586,0.006391591506285,0.006391591506285,3.5772847,ms,F,,lund16,3.84615384615385,2.32558139534884,1.10368412871133,43.9021017091277,A,3.808413551400368,0.0047669811856434,0.0048198866290238,0.894039000804609,0.1580671369109708,0.2510534092924097,71.0,0.014,0.11,0.20456027310169025,0.05,0.05
EPIC206189649,316,1.17,0.06,0.06,2.0,0.05,0.05,6082,78,78,8.906,1.59769482996764,1.59769482996764,-0.18,0.11,0.11,3.907,0.012,0.012,0.14842695831262,0.006391591506285,0.006391591506285,3.8073652,ms,F,,lund16,5.12820512820513,2.5,1.2824728707662,17.9395332356573,A,3.784046415808113,0.0055342963563123,0.0056057322368805,0.9496826907952042,0.0716594046561381,0.0858660170717401,78.0,0.012,0.11,0.0787627108639391,0.06,0.05
EPIC206201061,317,1.41,0.1,0.1,1.97,0.06,0.06,6589,71,71,5.989,0.54400862162162,0.54400862162162,-0.02,0.11,0.11,3.997,0.013,0.013,0.183935800014204,0.0078119451743484,0.0078119451743484,3.4750267,ms,F,,lund16,7.09219858156028,3.04568527918782,1.07755349825467,9.08346337655068,A,3.818819507547536,0.0046547216227645,0.0047051514184111,0.7773543130842088,0.0377589182450839,0.0413571166555296,71.0,0.013,0.11,0.03955801745030675,0.1,0.06
