ID,M,eM1,eM2,R,eR1,eR2,Teff,eTeff1,eTeff2,FeH,eFeH1,eFeH2,Ref,MH,eMH1,eMH2,logg,elogg1,elogg2,"logg_from_M,R",L,eL1,eL2,L_from_SB,class,type,orbit_a(Rsol),eOrbit_a,R/a,detached,well_detached,source,mode,database,logL,elogL1,elogL2,eTeff,elogg,eFeH,eL,eM,eR,elogL,percent_eM,percent_eR
KIC6448798,1.4,0.22,0.12,2.4,0.14,0.1,6349.0,67.0,67.0,-0.16,0.15,0.15,,,,,3.829,0.017,0.017,,9.553,0.859532225,0.859532225,,ms,F,,,,,,C14sdss,A,1,0.9801397777457546,0.03741658073804732,0.04094672912994024,67.0,0.017,0.15,0.859532225,0.16999999999999998,0.12000000000000001,0.03918165493399378,12.142857142857144,5.000000000000001
KIC6450651,1.1,0.18,0.12,1.72,0.11,0.09,5995.0,69.0,69.0,-0.12,0.15,0.15,,,,,4.01,0.02,0.021,,3.177,0.273070118,0.273070118,,ms,G,,,,,,C14sdss,A,1,0.5020172148271475,0.035810706782658186,0.039031089103541416,69.0,0.0205,0.15,0.273070118,0.15,0.1,0.0374208979430998,13.636363636363635,5.813953488372093
KIC6593461,0.94,0.2,0.11,1.29,0.08,0.06,5817.0,101.0,101.0,0.24,0.15,0.15,,,,,4.193,0.026,0.023,,2.059,0.17859073,0.17859073,,ms,G,,,,,,C14sdss,A,1,0.31365634661803143,0.03612430753280682,0.039403963121214525,101.0,0.0245,0.15,0.17859073,0.155,0.07,0.03776413532701067,16.48936170212766,5.426356589147288
KIC7019341,0.98,0.2,0.12,1.39,0.1,0.08,5723.0,77.0,77.0,0.38,0.1,0.1,,,,,4.145,0.02,0.02,,2.351,0.220003795,0.220003795,,ms,G,,,,,,C14sdss,A,1,0.37125262912493934,0.03885008857056321,0.04266995282651703,77.0,0.02,0.1,0.220003795,0.16,0.09,0.04076002069854012,16.3265306122449,6.474820143884893
KIC7465072,1.15,0.22,0.11,1.66,0.1,0.08,6192.0,55.0,55.0,0.06,0.15,0.15,,,,,4.061,0.034,0.033,,4.49,0.388140708,0.388140708,,ms,F,,,,,,C14sdss,A,1,0.6522463410033232,0.036007982204118605,0.03926558252243062,55.0,0.0335,0.15,0.388140708,0.165,0.09,0.03763678236327461,14.347826086956523,5.421686746987952
KIC7530690,1.35,0.07,0.09,1.34,0.04,0.04,6836.0,62.0,62.0,-0.04,0.15,0.15,,,,,4.311,0.013,0.014,,3.41,0.283974195,0.283974195,,ms,F,,,,,,C14sdss,A,1,0.5327543789924978,0.034739478270834234,0.03776182024123964,62.0,0.0135,0.15,0.283974195,0.08,0.04,0.03625064925603694,5.925925925925926,2.9850746268656714
KIC7622208,1.39,0.11,0.19,1.92,0.07,0.1,6606.0,99.0,99.0,0.0,0.15,0.15,,,,,4.008,0.013,0.014,,6.48,0.616787233,0.616787233,,ms,F,,,,,,C14sdss,A,1,0.8115750058705934,0.03948677907941789,0.04343935151908629,99.0,0.0135,0.15,0.616787233,0.15,0.085,0.04146306529925209,10.79136690647482,4.427083333333334
KIC7938112,1.37,0.13,0.17,1.84,0.07,0.09,6520.0,70.0,70.0,-0.22,0.15,0.15,,,,,4.043,0.018,0.02,,7.203,0.779587287,0.779587287,,ms,F,,,,,,C14sdss,A,1,0.8575134147766897,0.04463026132989878,0.04974758785519173,70.0,0.019,0.15,0.779587287,0.15000000000000002,0.08,0.047188924592545256,10.948905109489052,4.3478260869565215
KIC8174170,1.25,0.13,0.2,2.18,0.12,0.16,5983.0,64.0,64.0,-0.04,0.15,0.15,,,,,3.859,0.016,0.016,,2.899,0.668392809,0.668392809,,ms,G,,,,,,C14sdss,A,1,0.46224821535499744,0.09010271719295032,0.11382511741589096,64.0,0.016,0.15,0.668392809,0.165,0.14,0.10196391730442064,13.2,6.422018348623854
KIC8377423,1.21,0.19,0.14,1.99,0.12,0.11,6059.0,57.0,57.0,0.24,0.15,0.15,,,,,3.928,0.032,0.031,,6.765,0.601312885,0.601312885,,ms,F,,,,,,C14sdss,A,1,0.8302678009336417,0.03698236068586058,0.04042721626004275,57.0,0.0315,0.15,0.601312885,0.165,0.11499999999999999,0.03870478847295167,13.636363636363637,5.778894472361809
KIC8391021,1.26,0.1,0.11,1.54,0.05,0.05,6250.0,51.0,51.0,-0.22,0.2,0.15,,,,,4.163,0.01,0.011,,2.947,0.251913091,0.251913091,,ms,F,,,,,,C14sdss,A,1,0.46938013584992516,0.03562230535583105,0.038807361321397504,51.0,0.010499999999999999,0.175,0.251913091,0.10500000000000001,0.05,0.03721483333861428,8.333333333333334,3.2467532467532467
KIC8420801,1.35,0.1,0.19,1.74,0.06,0.08,6506.0,73.0,73.0,0.07,0.15,0.15,,,,,4.08,0.017,0.02,,4.674,0.408550153,0.408550153,,ms,F,,,,,,C14sdss,A,1,0.6696887080562082,0.03639296475582299,0.039723868152315656,73.0,0.018500000000000003,0.15,0.408550153,0.14500000000000002,0.07,0.03805841645406932,10.74074074074074,4.022988505747127
KIC8435400,1.5,0.13,0.21,2.34,0.12,0.13,6322.0,59.0,59.0,0.14,0.15,0.1,,,,,3.863,0.016,0.016,,9.416,0.822782257,0.822782257,,ms,F,,,,,,C14sdss,A,1,0.9738664498353783,0.03638185734019672,0.03971063334311309,59.0,0.016,0.125,0.822782257,0.16999999999999998,0.125,0.038046245341654905,11.333333333333334,5.341880341880342
