,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
60,60,13.876436395301628,2026-06-04 16:12:54.623723,2026-06-04 16:12:55.663507,0 days 00:00:01.039784,0.03277341699530321,5,3,687,8.355350041082803,1.9244836285156564,0.799185824892307,COMPLETE
61,61,5.819172901978552,2026-06-04 16:12:55.666384,2026-06-04 16:12:59.554515,0 days 00:00:03.888131,0.010120030574297475,8,1,592,0.01173298806592009,0.004424384655943938,0.6036202926518199,COMPLETE
62,62,5.8576724185946025,2026-06-04 16:12:59.557275,2026-06-04 16:13:02.465436,0 days 00:00:02.908161,0.012090698922217612,7,3,659,0.01376326319040212,0.006246303332325896,0.5409781736033544,COMPLETE
63,63,5.8244219187801844,2026-06-04 16:13:02.468250,2026-06-04 16:13:04.335935,0 days 00:00:01.867685,0.015726820318036103,7,2,374,0.005032723329491045,0.0011209435577410724,0.6125324632791588,COMPLETE
64,64,5.899752361333839,2026-06-04 16:13:04.338697,2026-06-04 16:13:09.279828,0 days 00:00:04.941131,0.010140807038542112,9,1,576,0.010980481859367943,0.005849700909089263,0.6465750142408031,COMPLETE
65,65,5.858919946315859,2026-06-04 16:13:09.283094,2026-06-04 16:13:12.514010,0 days 00:00:03.230916,0.02835891347175713,5,1,703,0.012224998831639685,0.011625412601815295,0.6718470739188277,COMPLETE
66,66,9.618616819908391,2026-06-04 16:13:12.517034,2026-06-04 16:13:14.030925,0 days 00:00:01.513891,0.010998548480081638,10,5,205,0.005842999320288285,6.225820356781377,0.9907534154722859,COMPLETE
67,67,7.100919477494642,2026-06-04 16:13:14.033621,2026-06-04 16:13:14.737917,0 days 00:00:00.704296,0.13679847673871345,4,10,308,1.1546895558603265,0.27413792374932205,0.5391216472869111,COMPLETE
68,68,5.8089298882849505,2026-06-04 16:13:14.740515,2026-06-04 16:13:18.443835,0 days 00:00:03.703320,0.015504781954882984,7,1,665,0.003693456024314891,0.0017182334400467078,0.6308282704565461,COMPLETE
69,69,5.77777360451636,2026-06-04 16:13:18.446448,2026-06-04 16:13:21.071759,0 days 00:00:02.625311,0.013233351056378049,6,1,633,0.005860201359441429,0.004561346827040905,0.623075537754977,COMPLETE
