ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	Fe/H	eFe/H1	eFe/H2	Ref	M/H	eM/H1	eM/H2	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a(Rsol)	eOrbit_a	R/a	detached	well_detached	source	mode	database	logL	elogL1	elogL2	logTeff	elogTeff1	elogTeff2
KIC6064910	1.4	0.15	0.13	2.37	0.1	0.09	6508.0	75.0	75.0	-0.26	0.2	0.15	NA	NA	NA	NA	3.836	0.015	0.015	NA	8.907	0.767730778	0.767730778	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.9497314523157071	0.03590743628420312	0.03914603847073295	3.8134475442648212	0.0049763108272573575	0.005033992864452941
KIC6363365	1.12	0.13	0.11	1.41	0.06	0.05	6282.0	76.0	76.0	-0.58	0.15	0.1	NA	NA	NA	NA	4.188	0.016	0.016	NA	4.057	0.854109438	0.854109438	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.6082050077043262	0.08297460425052183	0.10266290798258593	3.798097932062486	0.005222591516267805	0.00528616081433908
KIC6421967	1.24	0.1	0.11	1.27	0.04	0.05	6464.0	73.0	73.0	-0.12	0.15	0.15	NA	NA	NA	NA	4.321	0.015	0.017	NA	2.237	0.189568099	0.189568099	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.3496659840966297	0.03532649972896845	0.03845651835856212	3.8105013477665297	0.004877137199388315	0.004932530217974129
KIC6448798	1.4	0.22	0.12	2.4	0.14	0.1	6349.0	67.0	67.0	-0.16	0.15	0.15	NA	NA	NA	NA	3.829	0.017	0.017	NA	9.553	0.859532225	0.859532225	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.9801397777457546	0.03741658073804732	0.04094672912994024	3.802705327074352	0.004559028201755133	0.004607395011865911
KIC6450651	1.1	0.18	0.12	1.72	0.11	0.09	5995.0	69.0	69.0	-0.12	0.15	0.15	NA	NA	NA	NA	4.01	0.02	0.021	NA	3.177	0.273070118	0.273070118	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1	0.5020172148271475	0.035810706782658186	0.039031089103541416	3.7777891874348675	0.0049700051891297115	0.005027540290835297
KIC6593461	0.94	0.2	0.11	1.29	0.08	0.06	5817.0	101.0	101.0	0.24	0.15	0.15	NA	NA	NA	NA	4.193	0.026	0.023	NA	2.059	0.17859073	0.17859073	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1	0.31365634661803143	0.03612430753280682	0.039403963121214525	3.7646990637983677	0.007475897026246514	0.0076068436794352046
KIC7019341	0.98	0.2	0.12	1.39	0.1	0.08	5723.0	77.0	77.0	0.38	0.1	0.1	NA	NA	NA	NA	4.145	0.02	0.02	NA	2.351	0.220003795	0.220003795	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1	0.37125262912493934	0.03885008857056321	0.04266995282651703	3.757623745908389	0.005804247654548345	0.005882872097488612
KIC7465072	1.15	0.22	0.11	1.66	0.1	0.08	6192.0	55.0	55.0	0.06	0.15	0.15	NA	NA	NA	NA	4.061	0.034	0.033	NA	4.49	0.388140708	0.388140708	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.6522463410033232	0.036007982204118605	0.03926558252243062	3.791830947674836	0.003840558271185568	0.0038748243909041413
KIC7530690	1.35	0.07	0.09	1.34	0.04	0.04	6836.0	62.0	62.0	-0.04	0.15	0.15	NA	NA	NA	NA	4.311	0.013	0.014	NA	3.41	0.283974195	0.283974195	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.5327543789924978	0.034739478270834234	0.03776182024123964	3.834802054048699	0.003921135982672741	0.0039568617400878026
KIC7622208	1.39	0.11	0.19	1.92	0.07	0.1	6606.0	99.0	99.0	0.0	0.15	0.15	NA	NA	NA	NA	4.008	0.013	0.014	NA	6.48	0.616787233	0.616787233	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1	0.8115750058705934	0.03948677907941789	0.04343935151908629	3.8199385693553953	0.006460212832222201	0.00655776262153962
