ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	FeH	eFeH1	eFeH2	Ref	MH	eMH1	eMH2	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a(Rsol)	eOrbit_a	R/a	detached	well_detached	source	mode	database	logL	elogL1	elogL2
*_18_Sco	1.057	0.035	0.035	1.027	0.009	0.009	5824.0	30.0	30.0	0.03	0.01	0.01	NA	NA	NA	NA	4.44	0.05	0.05	0.0	1.094	0.011	0.011	0.0	MS	G	NA	NA	NA	NA	NA	Soubiran24	A/I	3	0.039017321997412	0.004344956023717497	0.004388865372091565
*_alf_Cen_A	1.111	0.026	0.026	1.217	0.005	0.005	5804.0	13.0	13.0	0.2	0.01	0.01	NA	NA	NA	NA	4.32	0.05	0.05	0.0	1.514	0.003	0.003	0.0	MS	G	NA	NA	NA	NA	NA	Soubiran24	A/I	3	0.18012587516405396	0.0008597056226765099	0.0008614108250285524
*_alf_Cen_B	0.905	0.011	0.011	0.859	0.004	0.004	5207.0	12.0	12.0	0.24	0.01	0.01	NA	NA	NA	NA	4.53	0.05	0.05	0.0	0.488	0.002	0.002	0.0	MS	G	NA	NA	NA	NA	NA	Soubiran24	A/I	3	-0.3115801779972894	0.001776258025803057	0.001783552740417249
*_bet_Vir	1.38	0.02	0.02	1.693	0.008	0.008	6093.0	13.0	13.0	0.13	0.01	0.01	NA	NA	NA	NA	4.1	0.05	0.05	0.0	3.555	0.015	0.015	0.0	MS	F	NA	NA	NA	NA	NA	Soubiran24	A/I	3	0.5508396050657851	0.0018286110464080796	0.0018363430399972458
*_mu._Her	1.081	0.016	0.016	1.686	0.007	0.007	5665.0	16.0	16.0	0.25	0.01	0.01	NA	NA	NA	NA	4.02	0.01	0.01	0.0	2.635	0.02	0.02	0.0	MS	G	NA	NA	NA	NA	NA	Soubiran24	A/I	3	0.4207806195485654	0.0032839058689224654	0.003308926345272356
*_tau_Cet	0.766	0.013	0.013	0.806	0.004	0.004	5397.0	15.0	15.0	-0.51	0.01	0.01	NA	NA	NA	NA	4.58	0.05	0.05	0.0	0.497	0.002	0.002	0.0	MS	G	NA	NA	NA	NA	NA	Soubiran24	A/I	3	-0.3036436112666679	0.001744156890057802	0.0017511897997634085
*_tet_Cyg	1.26	0.038	0.038	1.484	0.014	0.014	6914.0	33.0	33.0	-0.03	0.03	0.03	NA	NA	NA	NA	4.24	0.03	0.03	0.0	4.531	0.018	0.018	0.0	MS	F	NA	NA	NA	NA	NA	Soubiran24	A/I	3	0.6561940621791857	0.0017218746507693394	0.0017287286590399464
HIP91949	1.094	0.065	0.065	0.964	0.017	0.017	5315.0	48.0	48.0	0.3	0.02	0.02	NA	NA	NA	NA	4.47	0.01	0.01	0.0	0.668	0.001	0.001	0.0	MS	G	NA	NA	NA	NA	NA	Soubiran24	A/I	3	-0.1752235375244543	0.0006496552922774235	0.0006506285589967242
HIP93427	1.255	0.079	0.079	1.285	0.027	0.027	6016.0	63.0	63.0	-0.05	0.02	0.02	NA	NA	NA	NA	4.3	0.01	0.01	0.0	1.947	0.003	0.003	0.0	MS	F	NA	NA	NA	NA	NA	Soubiran24	A/I	3	0.2893659515200317	0.0006686598424863188	0.000669690929775868
HIP97527	1.356	0.106	0.106	1.304	0.034	0.034	6236.0	81.0	81.0	-0.09	0.02	0.02	NA	NA	NA	NA	4.33	0.01	0.01	0.0	2.315	0.006	0.006	0.0	MS	F	NA	NA	NA	NA	NA	Soubiran24	A/I	3	0.36455099535397195	0.001124145101945695	0.0011270624367955562
KIC8430105_B	0.8134	0.005	0.005	0.7494	0.0042	0.0039	5655.0	80.0	80.0	-0.46	0.1	0.1	NA	NA	NA	NA	4.599	0.0037	0.0041	0.0	0.51743	0.03019	0.02916	1.0	MS	NA	85.18	0.26	0.00879784	True	True	Thomsen22	EB	3	-0.2861483949918153	0.0246276959056021	0.025191563572113496
alf_Cen_A	1.105	0.007	0.007	1.224	0.003	0.003	5824.0	26.0	26.0	0.24	0.04	0.04	NA	NA	NA	NA	4.306	0.004	0.004	NA	1.549	0.029	0.029	NA	MS	G	NA	NA	NA	True	True	torres10	EB	1	0.19005141775920598	0.008055581114195492	0.008207829814433437
alf_Cen_B	0.934	0.006	0.006	0.863	0.005	0.005	5223.0	62.0	62.0	0.24	0.04	0.04	NA	NA	NA	NA	4.536	0.006	0.006	NA	0.498	0.025	0.025	NA	MS	G	NA	NA	NA	True	True	torres10	EB	1	-0.30277065724028246	0.02127234610755674	0.02236820202190598
V432_Aur_B	1.079	0.005	0.005	1.224	0.007	0.007	6685.0	85.0	85.0	-0.6	0.05	0.05	NA	NA	NA	NA	4.296	0.005	0.005	NA	2.685	0.146	0.146	NA	MS	F	NA	NA	NA	True	True	torres10	EB	1	0.42894429003557444	0.02299557932952856	0.02428158916185219
Kepler-34A	1.0479	0.0033	0.003	1.1618	0.0027	0.0031	5913.0	130.0	130.0	-0.07	0.15	0.15	NA	NA	NA	NA	4.3284	0.0021	0.0021	NA	1.49	0.13	0.13	NA	MS	G	NA	NA	NA	True	True	welsh12	EB	1	0.17318626841227402	0.03632874613035694	0.039647360042056545
Kepler-34B	1.0208	0.0022	0.0022	1.0927	0.0032	0.0027	5867.0	130.0	130.0	-0.07	0.15	0.15	NA	NA	NA	NA	4.3703	0.0022	0.0022	NA	1.28	0.11	0.11	NA	MS	G	NA	NA	NA	True	True	welsh12	EB	1	0.10720996964786837	0.03580483060622676	0.03902410790170675
Kepler-35A	0.8876	0.0051	0.0053	1.0284	0.002	0.0019	5606.0	150.0	150.0	-0.34	0.2	0.2	NA	NA	NA	NA	4.3623	0.002	0.002	NA	0.94	0.1	0.1	NA	MS	G	NA	NA	NA	True	True	welsh12	EB	1	-0.026872146400301365	0.04390548569908173	0.048848567537816995
Kepler-35B	0.8094	0.0041	0.0044	0.7861	0.002	0.0022	5202.0	100.0	100.0	-0.34	0.2	0.2	NA	NA	NA	NA	4.5556	0.0016	0.0016	NA	0.41	0.03	0.03	NA	MS	G	NA	NA	NA	True	True	welsh12	EB	1	-0.38721614328026455	0.030668819766451916	0.03300026010292528
47_Tuc_E32_A	0.862	0.002	0.002	1.183	0.001	0.001	6025.6	18.08	18.08	-0.71	0.1	0.1	NA	NA	NA	NA	4.227	0.002	0.002	0.0	1.66	0.05	0.05	0.0	MS	NA	59.46	0.1	0.019895728	True	True	Xiong23	EB	3	0.22010808804005508	0.012888022352098738	0.013282212008205396
47_Tuc_E32_B	0.827	0.002	0.002	1.004	0.002	0.002	5956.62	17.87	17.87	-0.71	0.1	0.1	NA	NA	NA	NA	4.352	0.003	0.003	0.0	1.15	0.03	0.03	0.0	MS	NA	59.46	0.1	0.016885301	True	True	Xiong23	EB	3	0.06069784035361165	0.011184166952513709	0.01147981768343008
AL_Ari_A	1.164	0.001	0.001	1.372	0.004	0.004	6367.96	25.47	25.47	-0.42	0.08	0.08	NA	NA	NA	NA	4.229	0.005	0.005	0.0	2.79	0.11	0.11	0.0	MS	F6	12.9503	0.0014	0.105943492	True	True	Xiong23	EB	3	0.44560420327359757	0.016793794625358516	0.01746940924480872
alpha_Dra_B	2.431	0.008	0.008	2.326	0.023	0.023	9931.16	139.04	139.04	0.01	0.05	0.05	NA	NA	NA	NA	4.09	0.019	0.019	0.0	47.4	6.9	6.0	0.0	MS	A	103.4409972	NA	0.022486249	True	True	Xiong23	EB	3	1.675778341674085	0.059021487914761916	0.05877800055318616
ASAS_J065134-2211.5_A	0.956	0.005	0.005	0.997	0.002	0.002	5495.41	43.96	43.96	0.09	0.13	0.13	NA	NA	NA	NA	4.421	0.003	0.003	0.0	0.817	0.062	0.058	0.0	MS	NA	20.18	0.07	0.049405352	True	True	Xiong23	EB	3	-0.08777794346758454	0.031766818541356434	0.03198028063693517
