ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	Fe/H	eFe/H1	eFe/H2	Ref	M/H	eM/H1	eM/H2	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a(Rsol)	eOrbit_a	R/a	detached	well_detached	source	mode	database	logL	elogL1	elogL2	logR	elogR1	elogR2
KIC10053594	1.2402	0.0479	0.0479	6.7773	0.1176	0.1176	4574.027	55.4844	55.4844	0.3559	0.058	0.058	NA	NA	NA	NA	2.8712	0.0045	0.0045	0.0	18.11353	1.80182	1.06449	1.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.2580030947165213	0.04118484855370519	0.026303165020877595	0.831056710291183	0.007471261487817182	0.007602044375999206
KIC10055061	1.223	0.0472	0.0472	16.5836	0.2865	0.2865	4201.287	36.4399	36.4399	0.2292	0.058	0.058	NA	NA	NA	NA	2.0763	0.0037	0.0037	0.0	77.19368	2.94259	3.73896	1.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.8875817452388286	0.01624737878102378	0.021562037636805975	1.2196788139357924	0.007438843005405982	0.0075684835225173774
KIC10055385	0.9514	0.2276	0.2276	31.4615	3.614	3.614	4147.1157	43.9161	43.9161	-0.5146	0.058	0.058	NA	NA	NA	NA	1.393	0.013	0.013	0.0	319.6	35.7	12.3	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	2.5046067706419537	0.04598843684737419	0.017044210385575465	1.497779424777831	0.04722444581902341	0.0529932121599721
KIC10055660	1.5577	0.061	0.061	24.2911	0.4266	0.4266	4248.1865	38.0801	38.0801	-0.0117	0.058	0.058	NA	NA	NA	NA	1.8415	0.0038	0.0038	0.0	173.14238	6.83245	8.59386	1.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	2.2384033829962346	0.016808389015664282	0.02210940252642457	1.38544718187443	0.007560875004319678	0.0076948422509743875
KIC10055674	1.4725	0.0568	0.0568	10.7302	0.1861	0.1861	4617.9233	41.6475	41.6475	0.1221	0.058	0.058	NA	NA	NA	NA	2.5463	0.0038	0.0038	0.0	48.74	0.82	0.87	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.6878855248487055	0.007245772855320354	0.007822097366756875	1.030607816848234	0.0074676455246958096	0.0075983007399678115
KIC10057222	1.2532	0.0483	0.0483	9.2051	0.1596	0.1596	4624.929	50.7138	50.7138	0.0324	0.058	0.058	NA	NA	NA	NA	2.6097	0.0042	0.0042	0.0	34.92786	1.92043	1.9268	1.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.543171977602658	0.02324536097516594	0.024644087883635812	0.9640285108424551	0.007465358382794052	0.007595932876106826
KIC10059173	0.9736	0.1919	0.1919	19.2272	1.7396	1.7396	4482.959	46.4131	46.4131	-0.7921	0.058	0.058	NA	NA	NA	NA	1.84	0.0151	0.0151	0.0	134.51969	25.35214	23.87891	1.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	2.128785857814137	0.07498608840028842	0.08487062899468167	1.2839160438282848	0.03761610869764609	0.04118583287885014
KIC10059338	1.6651	0.2587	0.2587	23.5533	1.6917	1.6917	4511.2246	41.624	41.624	-0.2642	0.058	0.058	NA	NA	NA	NA	1.8987	0.0115	0.0115	0.0	179.9	11.7	12.7	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	2.2550311633455515	0.02736434139697419	0.031794890242554	1.3720517637530827	0.030123611278422446	0.03236981996636956
KIC10064921	1.2881	0.2355	0.2355	31.1279	2.6507	2.6507	4049.775	35.3912	35.3912	0.0383	0.058	0.058	NA	NA	NA	NA	1.5354	0.0128	0.0128	0.0	234.81073	52.91634	39.13562	1.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	2.3707179387140656	0.08826278448517932	0.07918235208068758	1.4931498226042845	0.035491823078471985	0.038652537229695305
KIC10065692	1.0045	0.1715	0.1715	40.8559	3.29	3.29	4118.753	37.4927	37.4927	-0.3781	0.058	0.058	NA	NA	NA	NA	1.1914	0.011	0.011	0.0	457.9	23.0	22.8	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	2.660770643527697	0.02128413354611025	0.022181560234980413	1.6112547818579266	0.033635593324988555	0.03646098377461593
KIC10066275	1.2029	0.0501	0.0501	5.4447	0.1016	0.1016	4850.611	60.3178	60.3178	-0.2187	0.058	0.058	NA	NA	NA	NA	3.0481	0.0049	0.0049	0.0	17.87	1.33	1.16	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.2521245525056444	0.031176676197905318	0.02914810261225309	0.7359739553619657	0.00802940155330878	0.008180652966111812
KIC10067407	1.2003	0.0462	0.0462	10.957	0.1898	0.1898	4694.5527	44.6341	44.6341	-0.3682	0.058	0.058	NA	NA	NA	NA	2.4377	0.0039	0.0039	0.0	49.43	1.59	1.89	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.6939906104607767	0.0137498438129946	0.01693143306861522	1.039691661649026	0.007458547277291228	0.007588881531047198
KIC10068014	1.0027	0.0393	0.0393	21.9624	0.3858	0.3858	4240.198	43.4534	43.4534	-0.2306	0.058	0.058	NA	NA	NA	NA	1.7343	0.0041	0.0041	0.0	149.7	19.4	16.1	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	2.1752218003430523	0.05292180725468931	0.04941534220352528	1.3416797970623924	0.007562752260230399	0.007696786630810193
KIC10068556	1.326	0.0508	0.0508	4.9317	0.0852	0.0852	4885.1123	47.9932	47.9932	0.0069	0.058	0.058	NA	NA	NA	NA	3.1763	0.004	0.004	0.0	10.71	0.28	0.25	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.0297894708318556	0.011208221591634926	0.010257786300600147	0.692996650180938	0.0074387943028592085	0.007568433107612793
KIC10068801	1.5107	0.0588	0.0588	21.4805	0.3759	0.3759	4314.858	38.4886	38.4886	-0.0168	0.058	0.058	NA	NA	NA	NA	1.9382	0.0037	0.0037	0.0	144.0952	5.5732	7.12219	1.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	2.1586495141364503	0.016480601809190087	0.02201451459200987	1.3320443861855102	0.007534244031664139	0.007667260893330585
KIC10068810	1.0199	0.0393	0.0393	8.4731	0.1469	0.1469	4636.5166	43.431	43.431	-0.3005	0.058	0.058	NA	NA	NA	NA	2.5922	0.0039	0.0039	0.0	34.64	0.71	0.71	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.539577883345309	0.00881153478760921	0.008994023700191311	0.9280423320048897	0.007464933819823161	0.007595493331482461
KIC10068892	1.2653	0.0483	0.0483	16.9061	0.2904	0.2904	4528.7305	42.2428	42.2428	-0.3362	0.058	0.058	NA	NA	NA	NA	2.0737	0.0038	0.0038	0.0	108.31472	4.60022	5.43056	1.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	2.034687481374732	0.01806392671761259	0.022338965252992615	1.228043433509841	0.007396630527828352	0.007524791191317437
KIC10069045	1.2054	0.0465	0.0465	9.3622	0.1623	0.1623	4657.4824	43.2684	43.2684	-0.1071	0.058	0.058	NA	NA	NA	NA	2.5781	0.0039	0.0039	0.0	35.03	0.91	1.02	0.0	RGB	NA	NA	NA	NA	NA	NA	Pinsonneault25	A	3	1.5444401373176924	0.011137935455262538	0.01283350538497019	0.9713779145065069	0.007464271632168007	0.0075948077788018376
