ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	Fe/H	eFe/H1	eFe/H2	Ref	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a	eOrbit_a	R/a	detached	well_detached	source	mode	database
KIC10858780	0.92	0.14	0.11	1.43	0.1	0.08	5672.0	60.0	60.0	-0.16	0.15	0.1	NA	4.086	0.023	0.023	NA	2.386	0.210801879	0.210801879	NA	MS	G	NA	NA	NA	NA	NA	C14sdss	A	1
KIC10873176	1.109	0.054083269	0.050803543	2.021	0.039357337	0.038470768	6517.0	89.0	89.0	-0.837	0.104	0.104	NA	3.871	0.012529964	0.012529964	NA	6.273	0.53509904	0.53509904	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10923629	1.688	0.078771822	0.213459598	2.578	0.043185646	0.099297533	6195.0	87.0	87.0	0.157	0.1	0.1	NA	3.84	0.009899495	0.02118962	NA	9.692	0.806334524	0.806334524	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10963065	1.131	0.044407207	0.044407207	1.242	0.017029386	0.017804494	6316.0	45.0	45.0	-0.146	0.072111026	0.072111026	NA	4.303	0.006403124	0.007211103	NA	1.87	0.154763396	0.154763396	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10971974	1.057	0.059539903	0.058668561	1.19	0.033837849	0.032893768	6030.0	58.0	58.0	-0.077	0.102	0.102	NA	4.311	0.018681542	0.018681542	NA	1.647	0.136094551	0.136094551	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10972252	1.338	0.065069194	0.063702433	2.285	0.053600373	0.052009614	6237.0	60.0	60.0	-0.136	0.101	0.101	NA	3.845	0.012529964	0.012529964	NA	8.655	0.740800397	0.740800397	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC10972873	1.177	0.048764741	0.055036352	1.861	0.034058773	0.03748333	5928.0	64.0	64.0	-0.057	0.101	0.101	NA	3.968	0.00781025	0.008602325	NA	3.488	0.305307643	0.305307643	NA	MS	G	NA	NA	NA	NA	NA	serenelli17	A	1
KIC11027406	1.066	0.064621978	0.060926185	1.357	0.029966648	0.029068884	6250.0	94.0	94.0	-0.279	0.099	0.099	NA	4.2	0.012083046	0.01118034	NA	2.054	0.177470422	0.177470422	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC11075448	1.326	0.059413803	0.057280014	1.564	0.047434165	0.04554119	6470.0	68.0	68.0	0.029	0.1	0.1	NA	4.171	0.019646883	0.020615528	NA	4.039	0.31044264	0.31044264	NA	MS	F	NA	NA	NA	NA	NA	serenelli17	A	1
KIC11075456	1.29	0.11	0.17	1.48	0.05	0.07	6513.0	58.0	58.0	-0.2	0.3	0.2	NA	4.207	0.018	0.02	NA	3.247	0.263707259	0.263707259	NA	MS	F	NA	NA	NA	NA	NA	C14sdss	A	1
