Seq	SIMBAD_ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	L	eL1	eL2	FeH	eFeH1	eFeH2	logg	elogg1	elogg2	rho	erho1	erho2	cutoff	class	type	pla	catalog	e_M	e_R	e_Teff	e_L	mode	logTeff	elogTeff1	elogTeff2	logL	elogL1	elogL2
240	V568_Lyr A	1.075	0.008	0.008	1.4	0.016	0.016	5665	100	100	1.811	0.143	0.143	0.28	0.05	0.05	4.178	0.01	0.01	NA	NA	NA	4.0807087	MS	G	NA	eker14	0.744186046511628	1.14285714285714	1.76522506619594	7.8961899503037	EB	3.753199914199416	0.007599397431301558	0.007734745528689135	0.2579184503140584	0.03300610906869583	0.03572240401233853
241	V568_Lyr B	0.827	0.004	0.004	0.768	0.006	0.006	4900	100	100	0.305	0.028	0.028	0.28	0.05	0.05	4.586	0.008	0.008	NA	NA	NA	4.5821662	MS	K	NA	eker14	0.483675937122128	0.78125	2.04081632653061	9.18032786885246	EB	3.690196080028514	0.008773924307504899	0.008954842652926676	-0.5157001606532142	0.038144394159534134	0.04182007028233725
242	V570_Per A	1.447	0.009	0.009	1.521	0.034	0.034	6842	50	50	4.55	0.247	0.247	0.02	0.03	0.03	4.234	0.019	0.019	NA	NA	NA	3.3091852	MS	F	NA	torres10	0.621976503109882	2.2353714661407	0.730780473545747	5.42857142857143	EB	3.8351830698490437	0.003162198926947024	0.003185392613147542	0.6580113966571124	0.022958321808784765	0.024240050574556915
243	V570_Per B	1.347	0.008	0.008	1.386	0.019	0.019	6562	50	50	3.199	0.135	0.135	0.02	0.03	0.03	4.284	0.012	0.012	NA	NA	NA	3.4927252	MS	F	NA	torres10	0.593912397921307	1.37085137085137	0.761962816214569	4.22006877149109	EB	3.817036226050029	0.003296618849381261	0.003321834168883875	0.505014240084107	0.01795135540787951	0.018725479123540667
246	V636_Cen A	1.052	0.005	0.005	1.024	0.004	0.004	5900	85	85	1.14	0.07	0.07	-0.2	0.08	0.08	4.444	0.004	0.004	NA	NA	NA	3.9266662	MS	G	NA	eker14	0.475285171102662	0.390625	1.44067796610169	6.14035087719298	EB	3.7708520116421442	0.006212143100285061	0.0063022925776770045	0.05690485133647256	0.025880518979977514	0.02752107365126298
247	V636_Cen B	0.854	0.003	0.003	0.835	0.004	0.004	5000	100	100	0.391	0.034	0.034	-0.2	0.08	0.08	4.532	0.005	0.005	NA	NA	NA	4.5166162	MS	K	NA	eker14	0.351288056206089	0.479041916167665	2.0	8.69565217391304	EB	3.6989700043360187	0.008600171761917519	0.008773924307504899	-0.40782324260413316	0.03621217265444476	0.03950854128367365
264	VZ_Cep A	1.402	0.015	0.015	1.558	0.012	0.012	6670	160	160	4.315	0.46	0.46	0.06	0.09	0.09	4.213	0.008	0.008	NA	NA	NA	3.4219312	MS	F	NA	eker14	1.06990014265335	0.770218228498075	2.39880059970015	10.6604866743917	EB	3.824125833916549	0.010294869764983616	0.01054484534835698	0.6349808000512285	0.043992575868536665	0.04895641766425263
265	VZ_Cep B	1.108	0.008	0.008	1.058	0.04	0.04	5720	120	120	1.076	0.137	0.137	0.06	0.09	0.09	4.446	0.033	0.033	NA	NA	NA	4.0446562	MS	G	NA	eker14	0.722021660649819	3.78071833648393	2.0979020979021	12.7323420074349	EB	3.7573960287930244	0.009016818319375286	0.009208001786824127	0.0318122713303704	0.052048529536202606	0.05914667906425945
266	VZ_Hya A	1.271	0.009	0.009	1.315	0.005	0.005	6645	150	150	3.027	0.3	0.3	-0.2	0.12	0.12	4.305	0.005	0.005	NA	NA	NA	3.4383187	MS	F	NA	eker14	0.708103855232101	0.380228136882129	2.25733634311512	9.91080277502478	EB	3.822494985278751	0.009694475789762347	0.009915829869703963	0.481012420956573	0.04104037991224946	0.04532728301494304
274	WZ_Oph A	1.227	0.007	0.007	1.401	0.012	0.012	6165	100	100	2.547	0.182	0.182	-0.27	0.07	0.07	4.234	0.008	0.008	NA	NA	NA	3.7529587	MS	F	NA	eker14	0.570497147514262	0.856531049250535	1.6220600162206	7.14566156262269	EB	3.7899330809317506	0.006987994398418351	0.00710227572915878	0.40602894496361513	0.02997459070628139	0.03219779988978472
