ID	component	M	eM	R	eR	Teff	eTeff	L	eL	logg	elogg	FeH	eFeH	logL	elogL1	elogL2	elogL	logTeff	elogTeff1	elogTeff2	elogTeff
2MASS J18463735+4637506	NA	0.89	0.04	0.8	0.04	5174.0	119.0	0.361	0.005	4.581	0.048	0.11	0.12	-0.4424927980943421	0.005973883488752774	0.006057203932782751	0.006015543710767762	3.7138264243805246	0.00987546961074326	0.010105264453504681	0.00999036703212397
2MASS J18463735+4637506	NA	0.89	0.04	0.8	0.04	5174.0	119.0	0.361	0.005	4.581	0.048	0.11	0.12	-0.4424927980943421	0.005973883488752774	0.006057203932782751	0.006015543710767762	3.7138264243805246	0.00987546961074326	0.010105264453504681	0.00999036703212397
2MASS J18485221+4357010	NA	0.834	0.026	1.118	0.042	5361.0	76.0	0.938	0.083	4.258	0.032	-0.05	0.12	-0.027797161620935564	0.03682290370784577	0.0402367236508918	0.038529813679368786	3.7292458072253067	0.006113525776404227	0.006200815581861807	0.006157170679133017
2MASS J18525791+4622424	A	0.944	0.01	0.833	0.011	5521.0	102.0	0.581	0.046	4.571	0.015	0.09	0.1	-0.2358238676096693	0.033091408440385744	0.035822350369102335	0.03445687940474404	3.7420177471401384	0.007950336369264566	0.008098596127747548	0.008024466248506057
2MASS J18525791+4622424	B	0.1951	0.002	0.215	0.0014	3228.0	97.0	0.00452	0.00055	5.063	0.005	0.09	0.08	-2.344861565188618	0.049869524521954034	0.05634792804826683	0.05310872628511043	3.5089335260500327	0.012858123589090553	0.013250458433117451	0.013054291011104002
2MASS J18571988+4529355	NA	0.84	0.03	0.75	0.03	4968.0	99.0	0.285	0.005	4.612	0.038	0.1	0.12	-0.5451551399914898	0.007553137890445871	0.007686828666291001	0.007619983278368436	3.6961815871685237	0.008569317122147257	0.008741812622629297	0.008655564872388277
2MASS J19024305+5014286	NA	0.918	0.019	1.066	0.009	5647.0	74.0	1.063	0.034	4.344	0.003	-0.15	0.1	0.026533264523296733	0.013673363051414388	0.01411788976086384	0.013895626406139113	3.7518177877368792	0.005654160028788713	0.0057287446806788545	0.005691452354733784
2MASS J19071569+4711176	NA	0.64	0.03	0.6	0.02	4138.0	78.0	0.079	0.008	4.688	0.035	0.02	0.11	-1.1023729087095586	0.04189216132817708	0.04636874257136614	0.04413045194977161	3.616790486329716	0.00811011587477406	0.008264452752521745	0.008187284313647902
2MASS J19071569+4711176	NA	0.64	0.03	0.6	0.02	4138.0	78.0	0.079	0.008	4.688	0.035	0.02	0.11	-1.1023729087095586	0.04189216132817708	0.04636874257136614	0.04413045194977161	3.616790486329716	0.00811011587477406	0.008264452752521745	0.008187284313647902
2MASS J19095615+4647030	NA	0.87	0.03	0.78	0.03	5056.0	108.0	0.361	0.005	4.593	0.037	0.11	0.12	-0.4424927980943421	0.005973883488752774	0.006057203932782751	0.006015543710767762	3.7038070652743285	0.009179168320054387	0.00937737431724539	0.009278271318649889
