,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
52,52,3.876926393047851,2026-06-04 16:35:31.466536,2026-06-04 16:35:33.883778,0 days 00:00:02.417242,0.033899450916001245,7,6,625,0.007090054227667817,1.0855239443512932,0.5595307580551968,COMPLETE
53,53,3.8098321791274126,2026-06-04 16:35:33.886362,2026-06-04 16:35:38.943865,0 days 00:00:05.057503,0.010712054790068202,9,1,738,0.014090110397241704,1.809877277082788,0.5452799043920167,COMPLETE
54,54,3.763126104296326,2026-06-04 16:35:38.946419,2026-06-04 16:35:43.455284,0 days 00:00:04.508865,0.011842699903273935,7,2,814,0.07040337525447417,0.2364515093520819,0.5652246633854454,COMPLETE
55,55,3.857006462690245,2026-06-04 16:35:43.458553,2026-06-04 16:35:47.210883,0 days 00:00:03.752330,0.11140657691807797,9,2,940,0.004650090891625965,0.8665216138624916,0.6141966362686879,COMPLETE
56,56,3.765078337938842,2026-06-04 16:35:47.213535,2026-06-04 16:35:55.585484,0 days 00:00:08.371949,0.04715425024136431,9,1,824,0.0369474628023969,0.026878277979842782,0.5065115059749004,COMPLETE
57,57,4.01509385890468,2026-06-04 16:35:55.588179,2026-06-04 16:35:57.297166,0 days 00:00:01.708987,0.05369145471753982,3,7,777,0.001777928524143172,0.003960501485502842,0.9852919216664509,COMPLETE
58,58,4.652919928724191,2026-06-04 16:35:57.300009,2026-06-04 16:35:58.788025,0 days 00:00:01.488016,0.29530625987942877,7,3,699,0.9802179569651408,0.001554901733744235,0.5437862927177654,COMPLETE
59,59,3.901133076548953,2026-06-04 16:35:58.790803,2026-06-04 16:36:04.877765,0 days 00:00:06.086962,0.030131747984412857,8,3,892,0.002704702753808667,0.10146366788862961,0.5746895596363127,COMPLETE
60,60,4.179651866742727,2026-06-04 16:36:04.881705,2026-06-04 16:36:06.703459,0 days 00:00:01.821754,0.23982815584829142,5,9,473,0.0010208111728217753,0.2766268005631439,0.9075781818673759,COMPLETE
61,61,3.7552546820685277,2026-06-04 16:36:06.706143,2026-06-04 16:36:11.200080,0 days 00:00:04.493937,0.019450433437924207,6,1,997,0.041755903536933536,0.06711258211700954,0.6430706188691893,COMPLETE
62,62,4.040961424432203,2026-06-04 16:36:11.202749,2026-06-04 16:36:15.781745,0 days 00:00:04.578996,0.1275422585246901,4,8,867,0.042832467243265,0.0028220060186835033,0.5702455082516832,COMPLETE
63,63,3.7711815606606294,2026-06-04 16:36:15.784851,2026-06-04 16:36:20.032491,0 days 00:00:04.247640,0.020634129058649333,6,3,963,0.007133421516335649,0.4108222983778279,0.5710905438075451,COMPLETE
